id,segment,segment_name,polarity,topic_id,topic_name,topic_name_raw,product,review,review_translation,rating,sentiment
S1_EN_T1_011,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Laptop Stand,Does exactly the same thing as the branded stands but costs three times less. Bought without hesitation and have zero complaints.,브랜드 거치대랑 하는 일은 똑같은데 가격이 세 배 차이나요. 망설임 없이 샀고 불만 제로예요.,4.0,긍정
S1_EN_T1_012,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Earbud Case,"Compatible case is one tenth the price of the official one. Identical functionality, finish is fine — couldn't be happier.",정품 가격의 10분의 1짜리 호환 케이스예요. 기능 동일하고 마감도 괜찮아서 이보다 만족스러울 수 없어요.,3.5,중립
S1_EN_T1_013,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Tablet,"Even compared to used market prices, this new unit came out cheaper. Stacked a coupon on top of the sale — best shopping win this month.",중고 시세랑 비교해도 이 신품 가격이 더 쌌어요. 할인에 쿠폰까지 겹쳐서 이번 달 쇼핑 최고의 결과예요.,4.0,긍정
S1_EN_T1_014,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smartwatch,Compared prices across every marketplace and bought from the cheapest listing. Features-to-price ratio makes this the best value in its category.,마켓플레이스 전부 가격 비교해서 제일 저렴한 곳에서 샀어요. 기능 대비 가격으로 이 카테고리 가성비 1등이에요.,3.5,중립
S1_EN_T2_015,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Earbuds,Active noise cancellation at this price range is kind of wild. It's not flawless but it absolutely delivers what you're paying for.,이 가격대에서 노이즈캔슬링이 된다는 게 좀 말이 안 되는 수준이에요. 완벽하진 않지만 돈값은 확실히 해요.,3.5,중립
S1_EN_T2_016,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Portable SSD,Read speeds match the listed specs exactly. No real-world difference from pricier drives and the cost per GB is way better.,읽기 속도가 스펙표 그대로 나와요. 비싼 드라이브랑 체감 차이도 없고 GB당 가격은 훨씬 유리해요.,4.0,긍정
S1_EN_T2_017,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Power Bank,30W fast charging at this price? I timed the charge cycle and it came out nearly identical to the official spec sheet.,이 가격에 30W 고속충전이요? 직접 충전 시간 재봤더니 공식 스펙이랑 거의 똑같이 나왔어요.,4.0,긍정
S1_EN_T2_018,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Webcam,Had no idea 1080p was even possible at this price. Compared it side by side with a name-brand cam and couldn't see a difference.,이 가격에 1080p가 가능한 줄 몰랐어요. 브랜드 웹캠이랑 나란히 놓고 비교했는데 차이를 못 찾겠어요.,3.5,중립
S1_EN_T2_019,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Bluetooth Speaker,IPX7 waterproofing and 12-hour battery life is impressive for a budget unit. Held its own against speakers twice the price.,저가형인데 IPX7 방수에 배터리 12시간이라니 대단하네요. 두 배짜리 스피커랑 붙어도 밀리지 않았어요.,3.5,중립
S1_EN_T2_020,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Mouse,Four-stage DPI adjustment means it works fine for detail work. With specs like these I genuinely don't see the point of spending more.,DPI 4단계 조절이 돼서 세밀한 작업도 문제없어요. 이 스펙이면 굳이 더 비싼 거 살 이유를 모르겠어요.,3.5,중립
S1_EN_T2_021,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Mechanical Keyboard,Blue switches feel exactly right and the response time is fast. My typing experience has genuinely improved for the price I paid.,청축 느낌이 딱 맞고 반응속도도 빨라요. 지불한 가격 대비 타이핑 경험이 확실히 좋아졌어요.,4.0,긍정
S1_EN_T2_022,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,USB Hub,Five USB 3.0 ports at this price is kind of absurd. Benchmarked the transfer speeds and they matched the specs perfectly.,이 가격에 USB 3.0 포트가 5개라니 좀 말이 안 되죠. 전송 속도 직접 재봤는데 스펙 그대로 나왔어요.,3.5,중립
S1_EN_T2_023,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Smartwatch,"Heart rate and sleep tracking are both on board, and when I compared the readings against a premium brand they came out almost identical.","심박수랑 수면 분석 기능 둘 다 있는데, 프리미엄 브랜드 제품이랑 수치 비교해봤더니 거의 비슷하게 나왔어요.",3.5,중립
S1_EN_T2_024,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Charger,15W output with no overheating and charging speed right in line with the spec. This proves you really don't need to pay premium prices.,15W 출력에 발열도 없고 충전 속도 스펙대로 나와요. 비싼 거 안 사도 된다는 걸 이 제품이 증명하네요.,4.0,긍정
S1_EN_T2_025,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Laptop Stand,Rated up to 8kg so my laptop sits completely stable. Doubted it because of the price but the build quality passes the test.,최대 8kg 하중이라 노트북 올려도 완전히 안정적이에요. 가격 때문에 의심했는데 내구성 면에서 합격이에요.,3.5,중립
S1_EN_T3_026,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Wireless Earbuds,The case doesn't look or feel cheap at all. Showed a friend and they assumed it was expensive — that's all I needed to hear.,"케이스가 전혀 저렴해 보이거나 느껴지지 않아요. 친구한테 보여줬더니 비싼 거 줄 알더라고요, 그 말로 충분해요.",3.5,중립
S1_EN_T3_027,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Smartwatch,Metal body finish at this price genuinely surprised me. Wore it out and nobody would have guessed it was budget-tier.,이 가격에 메탈 바디 마감이라니 솔직히 놀랐어요. 차고 나갔는데 아무도 저가형이라고 생각 못 했을 거예요.,4.0,긍정
S1_EN_T3_028,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Bluetooth Speaker,Fabric exterior fits right in with my home decor. Put it next to a premium brand speaker and it held its own visually.,패브릭 외관이 인테리어랑 딱 어울려요. 프리미엄 브랜드 스피커 옆에 뒀는데 외관으로는 전혀 안 밀려요.,3.5,중립
S1_EN_T3_029,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Mechanical Keyboard,RGB lighting included at this price is something I didn't expect. Sets a great mood for late-night work sessions — best value keyboard I've owned.,"이 가격에 RGB 조명이 포함될 줄은 몰랐어요. 야간 작업할 때 분위기 제대로 나고, 지금까지 산 키보드 중 가성비 최고예요.",4.0,긍정
S1_EN_T3_030,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Wireless Mouse,Grip is better than expected and the look is clean enough to pass at the office. A coworker actually asked me what brand it was.,그립감이 예상보다 좋고 외형도 회사에서 써도 될 만큼 깔끔해요. 동료가 어디 브랜드냐고 실제로 물어봤어요.,3.5,중립
S1_EN_T3_031,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Power Bank,Slim and light for a budget power bank — barely notice it in my bag. Got this capacity at this price and it looks way more premium than it costs.,이 가격에 이렇게 슬림하고 가벼운 보조배터리가 있을 줄 몰랐어요. 용량도 넉넉한데 외형은 비싼 제품처럼 보여서 가성비 완승이에요.,3.5,중립
S1_EN_T3_032,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Laptop Stand,Aluminum finish matches my laptop perfectly. Set it next to an expensive Apple stand and it genuinely doesn't look out of place.,알루미늄 마감이 노트북이랑 딱 맞아요. 비싼 애플 거치대 옆에 놔도 전혀 어색하지 않아요.,3.5,중립
S1_EN_T3_033,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Smart Bulb,Color control through the app makes it a legit mood light. This proved I don't need to spend a lot to get the ambiance I wanted.,앱으로 색상 조절이 되니까 진짜 분위기 조명으로 손색없어요. 원하는 분위기 내려고 비쌀 필요 없다는 걸 알았어요.,4.0,긍정
S1_EN_T3_034,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Earbud Case,Color matched the product photos exactly and the finish is clean. Almost bought the official version — this was clearly the smarter call.,색상이 제품 사진이랑 정확히 같고 마감도 깔끔해요. 정품 살 뻔했는데 이게 확실히 더 현명한 선택이었네요.,3.5,중립
S1_EN_T4_035,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Tablet,Ordered in the morning and it showed up the same evening. Lowest price AND Prime shipping — there's really no reason to buy from anywhere else.,오전에 주문했는데 같은 날 저녁에 왔어요. 최저가에 프라임 배송까지 되는데 다른 데서 살 이유가 없죠.,4.0,긍정
S1_EN_T4_036,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Portable SSD,Packaging was solid — no damage concerns at all. Bought cheap and it still arrived well-protected. No reason not to reorder from here.,포장이 튼튼해서 파손 걱정이 전혀 없었어요. 싸게 샀는데 포장까지 꼼꼼하니까 재주문 안 할 이유가 없어요.,4.0,긍정
S1_EN_T4_037,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Webcam,Showed up the next day. Had the cheapest listing and the fastest shipping — this is the only seller I'll use going forward.,"다음 날 바로 왔어요. 가격도 제일 저렴하고 배송도 제일 빨랐어요, 앞으로 여기서만 살 거예요.",3.5,중립
S1_EN_T4_038,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Wireless Earbuds,"Reported a defect and they processed an exchange immediately. Bought something budget-priced and still got fast, hassle-free support.",불량 신고했더니 바로 교환 처리해줬어요. 저렴한 제품 샀는데 빠르고 간편한 AS까지 받다니 만족스러워요.,3.5,중립
S1_EN_T4_039,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,USB Hub,Arrived with the box in perfect condition. Fast shipping and careful packing at this price — definitely ordering again.,"박스 완벽한 상태로 도착했어요. 이 가격에 빠른 배송에 꼼꼼한 포장까지, 다음에도 무조건 여기서 살게요.",4.0,긍정
S1_EN_T4_040,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Smartwatch,Listed as same-day dispatch and it actually came that evening. Budget seller but the service level matches the big platforms.,당일 출고라고 해서 반신반의했는데 그날 저녁에 진짜 왔어요. 저가 판매처인데 서비스가 대형 플랫폼 수준이에요.,3.5,중립
S1_EN_T4_041,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Power Bank,"Picked the wrong color and customer service updated my order before it shipped. Cheap price, quality service — proves the two aren't mutually exclusive.","색상 잘못 골랐는데 출고 전에 수정해달라고 했더니 처리해줬어요. 싼 가격에 질 좋은 서비스, 둘이 양립 가능하다는 걸 증명했네요.",3.5,중립
S1_EN_T5_042,S1,Price-Sensitive,POS,T5,사용 편의성,Ease of Use,Smart Bulb,App setup was ridiculously easy. Assumed budget meant complicated but the whole thing was done in five minutes and now I just use voice commands.,앱 설정이 말도 안 되게 쉬워요. 저렴하면 복잡할 줄 알았는데 5분 만에 다 끝나고 지금은 그냥 음성으로 써요.,3.5,중립
S1_EN_T5_043,S1,Price-Sensitive,POS,T5,사용 편의성,Ease of Use,Wireless Mouse,"Plug in the receiver and it just works. No driver install, no setup screen — plug-and-play usability at this price is beyond what I expected.","수신기 꽂으면 그냥 돼요. 드라이버 설치도 없고 설정 화면도 없어요, 이 가격에 이런 플러그앤플레이가 기대 이상이에요.",4.0,긍정
S1_EN_T5_044,S1,Price-Sensitive,POS,T5,사용 편의성,Ease of Use,Wireless Charger,Just set the phone down and it charges. No more fumbling with cables at night and no wear on the port — all of that for this price is wild.,"폰 올려놓기만 하면 충전돼요. 밤에 케이블 더듬을 일도 없고 단자 마모 걱정도 없어요, 이 가격에 이 편함이라니 진짜 대박이에요.",4.0,긍정
S1_EN_T5_045,S1,Price-Sensitive,POS,T5,사용 편의성,Ease of Use,USB Hub,Every port recognized instantly with zero setup — didn't expect this from a budget hub. Saved money going with this over the branded options and it works just as well.,"드라이버 설치 없이 꽂자마자 전 포트 인식됐어요. 비싼 브랜드 허브 안 사고 이걸 선택한 게 진짜 잘한 거 같아요, 기능 차이가 없어요.",3.5,중립
S1_EN_T1_046,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smart Bulb,Set a price alert and waited two weeks — finally dropped to where I wanted it. Patience pays off when you're not willing to overpay.,가격 알림 설정해두고 2주 기다렸는데 드디어 원하는 가격으로 내려왔어요. 비싸게 사기 싫으면 기다리는 게 이득이에요.,3.0,중립
S1_EN_T2_047,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Portable SSD,Didn't expect much at this price but transfer speeds are genuinely solid. Ran a few file moves and it kept up — no complaints from a budget buyer.,"이 가격에 별로 기대 안 했는데 전송 속도가 진짜 괜찮아요. 파일 몇 번 옮겨봤는데 충분하고, 저렴하게 산 입장에서 불만 없어요.",3.5,중립
S1_EN_T3_048,S1,Price-Sensitive,POS,T3,디자인/외관,Design/Appearance,Wireless Charger,Clean minimal look for the price — doesn't stick out awkwardly on a desk. Bought it for the specs but the appearance is a bonus I didn't expect.,이 가격에 이렇게 깔끔한 디자인이에요. 책상에 놔도 어색하지 않아요. 스펙 보고 샀는데 외형도 마음에 들어서 보너스 받은 느낌이에요.,4.0,긍정
S1_EN_T4_049,S1,Price-Sensitive,POS,T4,배송/서비스,Shipping/Service,Mechanical Keyboard,Cheapest listing I found and it still shipped same day. Budget buy with no compromise on the delivery — that combination keeps me coming back.,찾은 것 중에 제일 저렴한 곳이었는데 당일 출고였어요. 저렴하게 샀는데 배송까지 빠르면 이 쇼핑몰만 계속 이용하게 돼요.,4.0,긍정
S1_EN_T5_050,S1,Price-Sensitive,POS,T5,사용 편의성,Ease of Use,Bluetooth Speaker,Paired in under ten seconds and never lost connection. For a budget speaker the setup experience is surprisingly smooth — no frustration at all.,10초도 안 돼서 페어링됐고 연결이 끊긴 적도 없어요. 저렴한 스피커인데 연결 경험이 생각보다 훨씬 편해요. 불편함이 없어요.,3.5,중립
S1_POS2_T1_001,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Earbuds,Found a coupon stacked on top of an already discounted price. Ended up paying less than half the listed price — that's the kind of deal I wait months for.,이미 할인된 가격에 쿠폰까지 겹쳤어요. 정가의 절반도 안 내고 샀어요. 이런 딜 기다리다 보면 진짜 오는 것 같아요.,4.5,긍정
S1_POS2_T1_002,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,USB Hub,Price-matched it across four different stores before buying. This was the cheapest by a clear margin and it works exactly as expected.,네 군데 가격 비교하고 샀어요. 여기가 확실히 제일 쌌고 기대한 대로 잘 작동해요.,3.5,중립
S1_POS2_T1_003,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Mechanical Keyboard,Waited three weeks for a price drop and it finally dipped into my budget. Patience and price alerts are the only shopping strategy I need.,"가격 떨어지길 3주 기다렸는데 드디어 예산 안으로 들어왔어요. 기다림과 가격 알림, 이게 제 쇼핑 전략이에요.",4.0,긍정
S1_POS2_T1_004,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smartwatch,Open-box deal saved me 35% with no visible defects at all. Getting almost-new quality at a big discount is the only way to shop electronics.,오픈박스 딜로 35% 아꼈는데 외관 이상 전혀 없어요. 전자제품은 이렇게 사는 거죠.,4.5,긍정
S1_POS2_T1_005,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Portable SSD,Members-only sale price was significantly lower than the regular listing. Signing up for the membership paid for itself with just this one purchase.,회원 전용 세일 가격이 일반 가격보다 확연히 낮았어요. 멤버십 가입비를 이번 구매 한 번으로 뽑았네요.,4.0,긍정
S1_POS2_T1_006,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Bluetooth Speaker,End-of-season clearance knocked it down to a price that felt almost too good. Checked reviews carefully before pulling the trigger and no regrets.,시즌 말 재고 정리 세일에 말도 안 되는 가격이 됐어요. 리뷰 꼼꼼히 확인하고 샀는데 후회 없어요.,3.5,중립
S1_POS2_T1_007,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smart Bulb,Bought the whole pack at once because per-unit price drops significantly at volume. Every bulb in my house is now this brand thanks to the bulk discount.,묶음으로 사면 개당 가격이 확 내려가서 한 번에 다 샀어요. 우리 집 전구가 다 이 브랜드가 됐어요.,4.0,긍정
S1_POS2_T1_008,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Mouse,Refurbished unit looked brand new and cost 40% less. Can't justify paying full price for new when the condition is this good.,리퍼브 제품인데 새 제품 같아 보이고 40% 저렴해요. 이 상태면 새 제품 정가 낼 이유가 없죠.,4.5,긍정
S1_POS2_T1_009,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Webcam,Compared the specs dollar for dollar against more expensive options. This one won every category that actually matters for the price I paid.,비싼 제품이랑 돈 대비 스펙 하나하나 비교했는데 이게 제가 낸 가격 대비 중요한 항목에서 다 이겼어요.,3.5,중립
S1_POS2_T1_010,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Laptop Stand,New seller promotion cut the price in half for first-time buyers. Glad I checked because I almost paid full price on a different platform.,신규 판매자 프로모션으로 첫 구매 반값이었어요. 확인하길 잘했어요. 다른 플랫폼에서 정가 낼 뻔했거든요.,4.0,긍정
S1_POS2_T1_011,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Tablet,Education discount dropped it well below what I expected to spend. More features than I need at a price I'm comfortable with.,교육 할인 받으니까 생각보다 훨씬 싸게 샀어요. 필요 이상의 기능에 부담 없는 가격이에요.,5.0,긍정
S1_POS2_T1_012,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Power Bank,Trade-in credit for my old one covered almost half the cost of this new one. Upgrading without spending much is the best kind of upgrade.,예전 거 보상 판매로 새 제품 값의 절반 가까이 커버했어요. 돈 별로 안 쓰고 업그레이드하는 게 최고예요.,4.5,긍정
S1_POS2_T1_013,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Wireless Charger,Cashback app returned 12% on top of an already competitive price. Stacking discounts is a skill and this purchase was a masterclass.,캐시백 앱에서 이미 저렴한 가격에 12%를 더 돌려줬어요. 할인 쌓는 게 기술인데 이번 구매가 그 정점이었어요.,3.5,중립
S1_POS2_T1_014,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Earbud Case,Third-party version at a tenth of the official price does literally everything the same. Paying for the logo is not something I'm willing to do.,서드파티 버전이 정품 가격의 10분의 1인데 기능이 똑같아요. 로고 값 내는 건 제 스타일이 아니에요.,3.5,중립
S1_POS2_T1_015,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Mechanical Keyboard,Group buy pricing knocked nearly 30% off what this normally goes for. Worth the wait — the price difference more than justifies the delay.,공동구매 가격으로 원래 가격에서 30% 가까이 빠졌어요. 기다린 보람 있어요. 가격 차이가 기다림을 충분히 정당화해요.,4.0,긍정
S1_POS2_T1_016,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Smart Bulb,App-exclusive coupon made this cheaper than I'd seen it anywhere in the past six months. Set alerts and strike when the price is right.,앱 전용 쿠폰으로 최근 6개월 중 제일 싼 가격이 됐어요. 알림 설정하고 가격 맞으면 바로 사는 게 정답이에요.,5.0,긍정
S1_POS2_T1_017,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,USB Hub,Holiday sale timing was perfect — bought two as gifts and spent less total than one would have cost at regular price.,연말 세일 타이밍이 완벽했어요. 선물용으로 두 개 샀는데 정가 한 개 값도 안 들었어요.,4.0,긍정
S1_POS2_T1_018,S1,Price-Sensitive,POS,T1,가격/비용,Price/Cost,Portable SSD,Price history graph showed it was at an all-time low. Pulled the trigger immediately and glad I did — it went back up two days later.,가격 히스토리 그래프 보니 역대 최저가였어요. 바로 샀는데 이틀 후에 다시 올랐어요. 잘 잡았네요.,5.0,긍정
S1_POS2_T2_019,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Earbuds,Battery life exceeded the advertised spec by a solid margin. Getting more than what was promised at budget price is the definition of a good deal.,배터리 수명이 광고 스펙보다 확실히 더 나와요. 저렴하게 샀는데 약속보다 더 주면 그게 진짜 좋은 딜이죠.,4.5,긍정
S1_POS2_T2_020,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Power Bank,Actual capacity tested out at 94% of the rating — better than most budget options I've checked. This one actually delivers what it promises.,실제 용량 테스트해봤더니 표기의 94% 나왔어요. 제가 확인해본 저가 제품 중에 제일 잘 나왔어요. 약속을 지키네요.,4.5,긍정
S1_POS2_T2_021,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Portable SSD,Sequential read benchmarks came within 5% of the advertised spec. For a drive at this price I was honestly expecting worse.,순차 읽기 벤치마크가 광고 스펙의 5% 이내로 나왔어요. 이 가격 드라이브치고는 솔직히 더 못할 줄 알았어요.,4.0,긍정
S1_POS2_T2_022,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Bluetooth Speaker,Volume level at this price is surprising. Doesn't distort until you push it well past where I'd ever actually listen — that's all I need.,이 가격에 볼륨이 생각보다 커요. 내가 들을 수준보다 훨씬 올려도 찢어지지 않아요. 그게 다예요.,3.5,중립
S1_POS2_T2_023,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Webcam,Auto white balance adjusts noticeably better than the other cheap cam I tried. At this price difference the improvement is clearly worth it.,오토 화이트밸런스가 써봤던 다른 저가 웹캠보다 확실히 잘 잡혀요. 가격 차이 대비 개선이 확실히 의미 있어요.,3.5,중립
S1_POS2_T2_024,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Mouse,"Tracking accuracy on different surfaces is solid for a budget mouse. Tested it on wood, fabric, and glass — only glass gave any trouble.","저가 마우스치고 다양한 표면에서 추적이 안정적이에요. 나무, 천, 유리 다 테스트했는데 유리만 좀 힘들더라고요.",3.5,중립
S1_POS2_T2_025,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Smart Bulb,Brightness output matches what was listed and the color rendering is better than budget bulbs usually manage. Good enough and cheap — perfect combo.,밝기 출력이 표기대로 나오고 연색성이 보통 저가 전구보다 낫네요. 충분히 좋고 저렴해요. 완벽한 조합이에요.,4.0,긍정
S1_POS2_T2_026,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Mechanical Keyboard,Actuation feel is consistent across every key I've tested. Inconsistency is the usual problem with cheap keyboards and this one avoids it.,테스트해본 모든 키에서 액추에이션 느낌이 일정해요. 저가 키보드의 흔한 문제인 불균일이 없어요.,4.5,긍정
S1_POS2_T2_027,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,USB Hub,All ports charged and transferred simultaneously without any speed degradation. Multi-device performance at this price is genuinely impressive.,포트 전부 동시에 충전하고 전송해도 속도 저하 없어요. 이 가격에 멀티 디바이스 성능이 진짜 인상적이에요.,5.0,긍정
S1_POS2_T2_028,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Wireless Charger,Tested it with three different phones and hit rated wattage on all of them. Consistency across devices at budget price is hard to find.,폰 세 종류로 테스트했는데 전부 표기 와트로 충전됐어요. 저가에 기기 상관없이 일관된 출력은 찾기 어려워요.,4.0,긍정
S1_POS2_T2_029,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Tablet,Scrolling performance stays smooth even with multiple apps open. For a mid-range priced device the chip is doing more than I expected.,앱 여러 개 띄워놔도 스크롤이 부드럽게 유지돼요. 이 가격대 기기치고 칩이 생각보다 많이 해줘요.,4.0,긍정
S1_POS2_T2_030,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Smartwatch,Step count accuracy was within 3% of my reference device. For a watch at this price that level of sensor reliability is more than I expected.,걸음 수 정확도가 기준 기기와 3% 이내 차이예요. 이 가격대 시계치고 센서 신뢰성이 기대 이상이에요.,4.5,긍정
S1_POS2_T2_031,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Earbud Case,Wireless charging coil in this third-party case aligns perfectly every time. Charging consistency better than some official cases I've tried.,이 서드파티 케이스 무선 충전 코일이 매번 딱 맞게 정렬돼요. 써봤던 정품 케이스보다 충전 일관성이 나아요.,5.0,긍정
S1_POS2_T2_032,S1,Price-Sensitive,POS,T2,성능/스펙,Performance/Specs,Laptop Stand,Holds firm with a 2.5kg laptop and doesn't wobble. Structural stability at this price point was my main doubt and it's been answered.,2.5kg 노트북 올려도 단단하게 잡혀요. 이 가격에 구조적 안정성이 제일 걱정이었는데 해결됐어요.,3.5,중립
